epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2191.42,0.44708,0.31332,0.95578,0.94466,0.87405,0.95845,0.8595,0.43818,0.29997,0.97229,9.47376e-05,9.47376e-05,9.47376e-05
74,3278.41,0.44696,0.30301,0.95945,0.89956,0.91208,0.95054,0.85062,0.43885,0.30831,0.97372,8.88253e-05,8.88253e-05,8.88253e-05
75,4363.07,0.44768,0.30198,0.95981,0.90686,0.90277,0.94994,0.85092,0.4397,0.31081,0.97566,8.30746e-05,8.30746e-05,8.30746e-05
76,5464.8,0.46366,0.31213,0.96664,0.88257,0.92651,0.95243,0.85279,0.4388,0.30472,0.97446,7.74911e-05,7.74911e-05,7.74911e-05
77,6563.79,0.4836,0.33407,0.97898,0.88468,0.93008,0.96112,0.86143,0.43823,0.2968,0.97277,7.20803e-05,7.20803e-05,7.20803e-05
78,7667.38,0.47796,0.32906,0.97306,0.89008,0.92301,0.95925,0.85838,0.43806,0.29656,0.97132,6.68475e-05,6.68475e-05,6.68475e-05
79,8766.74,0.47546,0.32704,0.975,0.94346,0.87056,0.95904,0.85848,0.4381,0.29628,0.97082,6.1798e-05,6.1798e-05,6.1798e-05
80,9863.84,0.46962,0.32069,0.97019,0.93981,0.87337,0.95462,0.85438,0.43822,0.29455,0.97083,5.69366e-05,5.69366e-05,5.69366e-05
81,10961,0.46545,0.31769,0.96911,0.93805,0.87237,0.95376,0.85345,0.43859,0.29461,0.97126,5.22683e-05,5.22683e-05,5.22683e-05
82,12058.3,0.47979,0.3292,0.97692,0.93592,0.87316,0.95126,0.85117,0.4388,0.29688,0.97154,4.77976e-05,4.77976e-05,4.77976e-05
83,13158,0.47998,0.33462,0.97895,0.93214,0.8734,0.95098,0.85048,0.43877,0.29811,0.97223,4.35288e-05,4.35288e-05,4.35288e-05
84,14264.9,0.47753,0.32714,0.97703,0.93077,0.87803,0.95567,0.85592,0.43869,0.29438,0.97236,3.94663e-05,3.94663e-05,3.94663e-05
85,15366,0.48465,0.33355,0.98147,0.93443,0.87736,0.95633,0.85623,0.43877,0.29361,0.97227,3.56141e-05,3.56141e-05,3.56141e-05
86,16465.5,0.48328,0.33294,0.98197,0.93409,0.87879,0.95648,0.85723,0.43895,0.29208,0.97254,3.19759e-05,3.19759e-05,3.19759e-05
87,17564.8,0.48167,0.3325,0.97759,0.93487,0.87748,0.95721,0.85925,0.43866,0.29096,0.97243,2.85553e-05,2.85553e-05,2.85553e-05
88,18665.6,0.47711,0.33117,0.97738,0.87839,0.92808,0.95612,0.85762,0.43831,0.28999,0.97223,2.53557e-05,2.53557e-05,2.53557e-05
89,19761.7,0.47854,0.33634,0.97949,0.93514,0.87571,0.95424,0.8564,0.43823,0.29097,0.97188,2.23803e-05,2.23803e-05,2.23803e-05
90,1368.74,0.40694,0.27463,0.93609,0.93596,0.87621,0.95604,0.85765,0.43826,0.29096,0.97207,1.9632e-05,1.9632e-05,1.9632e-05
91,2652.83,0.44379,0.27423,0.94969,0.93612,0.87796,0.95785,0.85997,0.43843,0.2898,0.97177,1.71135e-05,1.71135e-05,1.71135e-05
92,3769.88,0.44176,0.27299,0.94562,0.8886,0.92403,0.95975,0.86211,0.43819,0.28983,0.97112,1.48273e-05,1.48273e-05,1.48273e-05
93,4867.12,0.43781,0.2715,0.93984,0.88879,0.92171,0.9598,0.86154,0.43819,0.28974,0.9706,1.27757e-05,1.27757e-05,1.27757e-05
94,5969.53,0.43947,0.27058,0.941,0.88815,0.92199,0.96055,0.86317,0.43805,0.28959,0.97011,1.09606e-05,1.09606e-05,1.09606e-05
95,7070.91,0.4383,0.26738,0.93858,0.88876,0.92371,0.96085,0.86354,0.43774,0.28919,0.96952,9.38391e-06,9.38391e-06,9.38391e-06
96,8170.54,0.43608,0.26869,0.93863,0.88787,0.92398,0.96095,0.86402,0.43792,0.28964,0.96934,8.04714e-06,8.04714e-06,8.04714e-06
97,9271.32,0.43651,0.26635,0.93792,0.94136,0.87187,0.96126,0.8642,0.43785,0.29038,0.96916,6.95161e-06,6.95161e-06,6.95161e-06
98,10367.2,0.43548,0.26663,0.94173,0.8811,0.92801,0.96081,0.86367,0.43788,0.29049,0.96892,6.09841e-06,6.09841e-06,6.09841e-06
99,11465.2,0.43486,0.26479,0.93957,0.8818,0.92789,0.96041,0.86261,0.43778,0.29026,0.96869,5.48838e-06,5.48838e-06,5.48838e-06
100,12562,0.43679,0.26931,0.9403,0.88094,0.92842,0.96022,0.86219,0.43773,0.28961,0.96857,5.12213e-06,5.12213e-06,5.12213e-06
